"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"THIRST","slash",0.705035,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",25,4,NA,NA,"4","16,43"
"EXCUSE","z",0.7501,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"JACKET","z",1.11682,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"DIRT","z",0.700635,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",1,3,NA,NA,"1","40"
"STING","z",1.24881,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"KNIT","z",1.728965,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"HEAR","z",0.91173,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HORN","slash",1.166255,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",20,2,NA,NA,NA,NA
"LIGHT","z",1.44835,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ONCE","slash",1.58542,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"OVEN","z",0.76687,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ROOF","z",0.832455,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SKIN","slash",1.2618,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CANDLE","slash",2.38258,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",41,4,NA,NA,NA,NA
"NEPHEW","slash",0.899565,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",37,2,NA,NA,"29,34","93"
"STICKY","slash",1.1119,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MAD","z",0.683635,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SUPPER","slash",1.189075,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",11,4,NA,NA,NA,NA
"SONG","z",0.766085,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HOTEL","slash",0.71621,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",38,3,NA,NA,"35",NA
"TENNIS","slash",1.5618,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",40,4,"Identical",NA,NA,NA
"BALLET","z",1.617325,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",42,4,"Identical",NA,NA,NA
"FENCE","slash",1.098245,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",20,1,NA,NA,NA,NA
"DAGGER","slash",0.70016,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",30,2,"Identical",NA,"31","26"
"SLOW","slash",3.18975,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",29,4,"Identical",NA,NA,NA
"SELLER","slash",2.049735,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",40,2,"Identical",NA,NA,NA
"MONKEY","slash",0.916755,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SORRY","z",1.80022,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",34,3,NA,NA,"10",NA
"MAYBE","z",1.55171,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"THROW","slash",1.833325,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",23,1,"Identical",NA,NA,NA
"LETTUCE","z",0.816975,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DEATH","slash",2.016345,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HORSE","slash",0.867065,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",4,1,"Identical",NA,NA,NA
"SMELL","z",0.865755,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MINUS","slash",0.80052,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",41,1,"Identical",NA,"23",NA
"POTATO","z",0.63649,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MAGIC","z",0.76831,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LEARN","slash",1.81676,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",26,3,"Identical",NA,NA,NA
"POUND","slash",1.500545,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",30,3,"Identical",NA,NA,NA
"NOISE","slash",0.66717,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",18,3,NA,NA,"20",NA
"BABY","z",3.397745,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"GRASS","slash",0.71675,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",35,1,NA,NA,"4,41","11"
"CORAL","slash",0.900435,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,NA,NA
"PEPPER","slash",0.63379,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",15,1,NA,NA,"10",NA
"WAITER","slash",0.749705,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",4,4,"Identical",NA,NA,NA
"BORROW","z",1.117765,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",27,4,NA,NA,NA,NA
"SWORD","slash",0.800305,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ROSE","z",0.86685,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NECK","slash",1.10036,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"OUTTAKE","z",0.86653,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"LAWYER","slash",0.96603,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",16,2,NA,NA,"14",NA
"TAKE","slash",2.53522,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"HAPPY","z",0.86435,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MOST","z",0.85284,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",31,4,"Identical",NA,NA,NA
"FOUND","slash",0.7003,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",2,1,NA,NA,"2","101"
"MEAN","slash",2.74992,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MUSCLE","slash",0.700195,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",38,1,NA,NA,"18",NA
"MIDDLE","slash",1.266915,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",39,4,"Identical",NA,NA,NA
"STREAM","slash",0.717275,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",11,2,NA,NA,"12",NA
"GUILT","z",0.816935,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"VERB","z",0.68024,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",5,4,NA,NA,NA,NA
"BOSS","z",0.636915,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
