Participant,Prime,Prime_Duration,rt,Response,Accuracy
JH,VOID,116.605,897.635,VOID,1
JH,SHAVE,116.605,981.045,SHAVE,1
JH,SPAN,116.76,881.02,SPAN,1
JH,STARK,115.96,830.9,STARK,1
JH,SPUN,117.295,1146.86,SPU,1
JH,MORAL,116.75,864.495,MORAL,1
JH,EFFIGY,117.155,2610.505,XXXXX,0
JH,ERUPT,116.43,964.685,ERUPT,1
JT,SPUNK,116.565,2366.31,SPUNK,1
JT,LEND,116.645,1149.74,LEND,1
JT,SPUN,116.475,1372.125,SPUN,1
JT,MEET,116.58,1283.38,MEET,1
JT,MUZZLE,116.72,1163.81,MUZZLE,1
JT,LYNX,116.87,1700.285,LYNX,1
JT,DAMAGE,116.425,1283.485,DAMAGE,1
JT,VOID,116.675,874.875,VOID,1
JT,FREAK,116.525,1305.36,FREAK,1
JT,CEASE,116.49,1458.41,CEASE,1
JT,CORNER,116.75,1296.175,CORNER,1
JT,PIAZZA,116.86,1166.635,PIZZA,0
JT,RESUME,116.445,1516.29,CONSUME,0
JT,SNAP,116.53,1075.23,SNAP,1
JT,TOTALLY,116.645,1346.65,TOTALLY,1
JT,TRIVIA,116.725,1208.315,TRIVIA,1
JT,CHEER,116.57,1025.8,CHEER,1
JT,MIDLAND,116.695,2839.185,MIDLAND,1
JT,HOSTEL,118.645,3100.845,HOSTEL,1
JT,SUIT,116.82,1077.595,SUIT,1
JT,FOREST,116.685,1308.36,FOREST,1
JT,CHEAT,116.675,1175.145,CHEAT,1
JT,SHAVE,116.635,1233.28,SHAVE,1
JT,OPTION,116.865,1824.645,OPTION,1
JT,KEEP,116.75,885.275,KEEP,1
JT,FAUNA,116.475,2266.64,FAUNA,1
JT,WIND,116.79,791.71,WIND,1
JT,VODKA,116.51,2324.86,VODKA,1
JT,STARK,116.785,1316.755,STARK,1
JT,CLAW,117.025,1770.51,CLAW,1
JT,SPAN,116.645,1356.585,SPAN,1
JT,MORAL,116.675,1525.805,MORAL,1
JT,TRAITOR,116.735,1766.075,TRAITOR,1
JT,UNEASY,116.345,5658.25,JUNEASY,1
JT,ERUPT,116.115,1357.825,ERUPT,1
