participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
JT,JUMP,4457.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,ANGRY,4416.59,NA,NA,NA,NA,13,Identical,PENCIL,NA,NA
JT,CHILDR,7991.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,CHILDREN,1557.65,NA,NA,NA,NA,11,Unrelated,MINUS,NA,NA
JT,STUPID,2124.735,Studied,7,2,NA,5,Unrelated,GROSS,NA,NA
JT,HEAD,1807.84,Studied,40,2,NA,10,Unrelated,YELLOW,NA,NA
JT,HOUSE,4525.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,TREE,1315.735,Studied,38,4,NA,9,Related,ZERO,NONE,NA
JT,WOOD,829.35,Studied,21,2,NA,15,Related,THORN,ROSE,NA
JT,PIECES,7477.99,NA,NA,NA,NA,10,Related,HAIL,RAIN,NA
JT,CARD,2846.285,Studied,18,1,NA,"4,9",Unrelated,WHERE,NA,NA
JT,BOX,1233.185,NA,NA,NA,NA,9,Unrelated,NEPHEW,NA,NA
JT,NEIGHBOR,7200.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,RABBIT,2437.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,DOOR,7125.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,WHITE,7332.93,NA,NA,NA,NA,19,Unrelated,FRIGHT,NA,NA
